team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,defTotalCatchAllowed,defTotalDeflections,defTotalForcedFum,defTotalFumRec,defTotalInts,defTotalIntReturnYds,defTotalSacks,defTotalSafeties,defTotalTDs,defTotalTackles
49ers,SF,14,LOLB,551028620,Eric Clarke,0,0,10353,40,8,27.00,1,4,0,0,0,0,2.00,0,0,23.00
49ers,SF,14,MLB,551027912,LiAngelo Daniels,0,0,4084,16,13,46.00,10,5,0,0,3,40,1.00,0,0,35.00
49ers,SF,14,CB,551027265,Sergio Crowther,0,0,3965,27,7,8.00,0,0,0,0,0,0,0.00,0,0,8.00
49ers,SF,14,LE,551029614,Sidney Leonard,0,0,10352,90,3,5.00,0,0,0,0,0,0,1.50,0,0,2.00
49ers,SF,14,DT,551027440,Damarious Adams,1,0,10351,93,4,11.00,0,0,0,0,0,0,3.00,0,0,5.00
49ers,SF,14,DT,551026752,Kenny Lawrence,1,0,4076,78,9,16.00,0,0,0,0,0,0,2.00,0,0,12.00
49ers,SF,14,ROLB,551027950,Matt Alford,2,0,10337,99,1,2.00,0,0,0,0,0,0,0.00,0,0,2.00
49ers,SF,14,LOLB,551028642,Steve Castonzo,2,0,3384,56,4,14.00,0,0,0,1,0,0,2.00,0,1,4.00
49ers,SF,14,RE,551027989,Adisa Isaac,3,6,10114,96,9,21.00,1,1,1,0,0,0,3.00,0,0,12.00
49ers,SF,14,CB,551028140,Jarrian Jones,3,0,10133,22,11,38.00,4,8,0,0,2,5,1.50,0,0,29.00
49ers,SF,14,LE,551028746,Ruke Orhorhoro,3,0,10202,98,9,35.00,0,0,0,1,1,0,5.50,0,1,15.00
49ers,SF,14,CB,551029446,DJ Turner II,4,0,2438,21,12,31.00,6,5,0,0,1,38,0.50,0,0,27.00
49ers,SF,14,SS,551027937,Jordan Howden,4,0,2213,31,6,6.00,1,1,0,0,0,0,0.00,0,0,6.00
49ers,SF,14,RE,551027852,Nick Herbig,4,0,2204,52,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
49ers,SF,14,CB,551027501,Caleb Farley,6,0,1345,3,12,43.00,3,7,0,1,2,25,0.00,0,0,37.00
49ers,SF,14,ROLB,551028758,Odafe Oweh,6,0,1602,50,4,6.00,0,1,0,0,0,0,0.50,0,0,5.00
49ers,SF,14,SS,551026909,Julian Blackmon,7,0,97,32,13,43.00,2,5,1,0,1,10,0.00,0,0,37.00
49ers,SF,14,MLB,551027713,Dre Greenlaw,8,0,9480,58,12,43.00,1,3,2,2,0,0,4.50,0,0,28.00
49ers,SF,14,FS,551029710,Xavier Woods,10,0,8789,25,13,37.00,2,5,3,1,2,51,0.00,0,0,22.00
