team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,recTotalCatches,recAvgCatchPct,recTotalDrops,recTotalLongest,recTotalTDs,recTotalYdsAfterCatch,recTotalYds,recAvgYacPerCatch,recAvgYdsPerCatch,recAvgYdsPerGame
49ers,SF,14,WR,551029860,Brian Mack,0,0,10355,8,13,121.40,50,90.26,3,45,6,232,614,4.64,12.28,43.06
49ers,SF,14,WR,551029834,Michael Gomez,1,0,3963,0,13,97.00,46,89.53,3,57,5,291,524,6.33,11.39,39.26
49ers,SF,14,WR,551029847,Terrelle Foster,1,0,3402,88,7,46.30,12,88.10,2,38,3,16,179,1.33,14.92,9.01
49ers,SF,14,HB,551027281,Ben Autry,2,0,3810,30,12,103.60,57,94.64,2,84,5,400,732,7.02,12.84,79.47
49ers,SF,14,TE,551027259,Brandon Clayton,2,0,10315,82,2,3.10,2,100.00,0,11,0,9,11,4.50,5.50,1.56
49ers,SF,14,WR,551029798,DeMarcus Logan,2,0,3571,89,6,25.40,14,100.00,0,50,2,91,269,6.50,19.21,25.09
49ers,SF,14,HB,551029422,Kashawn Winter,2,0,3761,26,1,1.80,1,100.00,0,8,0,9,8,9.00,8.00,2.67
49ers,SF,14,HB,551029468,Sione Vaki,3,0,10277,33,4,18.80,6,87.50,1,47,1,64,83,10.67,13.83,7.37
49ers,SF,14,TE,551028325,Isaiah Likely,5,0,1807,80,3,6.50,3,100.00,0,15,0,17,35,5.67,11.67,4.47
49ers,SF,14,TE,551027522,Jake Ferguson,5,0,1577,84,11,87.20,33,94.70,2,50,3,193,461,5.85,13.97,47.92
49ers,SF,14,WR,551029630,Jameson Williams,5,6,2033,9,12,171.50,131,92.23,13,73,18,722,1446,5.51,11.04,107.71
49ers,SF,14,WR,551027025,Marquise Brown,8,4,9402,13,2,2.70,2,100.00,0,6,0,5,7,2.50,3.50,2.25
Bears,CHI,0,WR,551029866,Bryan Andrews,0,0,3718,15,8,24.80,11,87.50,1,30,1,27,212,2.45,19.27,18.71
Bears,CHI,0,TE,551028728,Nathan Blankenship,0,0,10317,11,4,8.00,4,100.00,0,21,0,10,40,2.50,10.00,3.35
Bears,CHI,0,HB,551028451,Nathan Fulton,0,0,3970,34,11,42.80,24,84.85,3,40,1,98,205,4.08,8.54,16.81
Bears,CHI,0,HB,551028424,Edward Cooper,2,6,3842,2,11,68.30,19,100.00,0,19,0,124,149,6.53,7.84,13.98
