team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,rushTotalAtt,rushTotalBrokenTackles,rushTotalFum,rushTotalLongest,rushTotalTDs,rushTotal20PlusYds,rushTotalYdsAfterContact,rushTotalYds,rushAvgYdsAfterContact,rushAvgYdsPerAtt,rushAvgYdsPerGame
49ers,SF,14,WR,551029860,Brian Mack,0,0,10355,8,7,79.70,4,8,2,13,0,0,5,23,0.71,5.75,2.80
49ers,SF,14,QB,551028207,Asaad Worthy,1,0,3403,1,5,10.50,20,1,0,6,1,0,1,45,0.20,2.25,3.42
49ers,SF,14,WR,551029834,Michael Gomez,1,0,3963,0,9,72.30,2,19,1,13,0,0,2,19,0.22,9.50,0.41
49ers,SF,14,WR,551029847,Terrelle Foster,1,0,3402,88,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
49ers,SF,14,HB,551027281,Ben Autry,2,0,3810,30,12,103.60,74,26,2,27,2,2,50,264,4.17,3.57,11.98
49ers,SF,14,TE,551027259,Brandon Clayton,2,0,10315,82,1,2.10,0,1,0,0,0,0,0,0,0.00,0.00,0.00
49ers,SF,14,WR,551029798,DeMarcus Logan,2,0,3571,89,6,14.30,1,9,2,0,0,0,0,0,0.00,0.00,0.00
49ers,SF,14,HB,551029422,Kashawn Winter,2,0,3761,26,1,0.20,1,0,0,2,0,0,0,2,0.00,2.00,0.33
49ers,SF,14,HB,551029468,Sione Vaki,3,0,10277,33,9,36.40,27,5,0,32,3,1,14,98,1.56,3.63,6.31
49ers,SF,14,QB,551029745,Bryce Young,4,0,2638,4,5,24.60,6,2,1,22,1,1,7,38,1.40,6.33,4.81
49ers,SF,14,TE,551028325,Isaiah Likely,5,0,1807,80,1,2.50,0,1,0,0,0,0,0,0,0.00,0.00,0.00
49ers,SF,14,TE,551027522,Jake Ferguson,5,0,1577,84,7,50.40,0,12,0,0,0,0,0,0,0.00,0.00,0.00
49ers,SF,14,WR,551029630,Jameson Williams,5,6,2033,9,11,157.80,2,26,1,2,0,0,5,4,0.45,2.00,0.36
Bears,CHI,0,WR,551029866,Bryan Andrews,0,0,3718,15,6,16.40,0,6,2,0,0,0,0,0,0.00,0.00,0.00
Bears,CHI,0,TE,551028728,Nathan Blankenship,0,0,10317,11,2,6.00,1,1,0,0,1,0,1,0,0.50,0.00,0.00
Bears,CHI,0,HB,551028451,Nathan Fulton,0,0,3970,34,13,42.60,29,18,3,20,1,1,20,107,1.54,3.69,7.64
Bears,CHI,0,HB,551028424,Edward Cooper,2,6,3842,2,13,111.50,125,19,2,56,10,2,112,525,8.62,4.20,31.08
Bears,CHI,0,WR,551029674,Roman Wilson,3,0,10303,10,5,55.30,0,7,0,0,0,0,0,0,0.00,0.00,0.00
Bears,CHI,0,QB,551029279,C.J. Stroud,4,0,2417,7,12,56.48,34,4,5,14,0,0,22,130,1.83,3.82,10.26
Bears,CHI,0,TE,551027870,Elijah Higgins,4,0,2209,84,3,42.60,0,5,0,0,0,0,0,0,0.00,0.00,0.00
Bears,CHI,0,TE,551028640,Luke Musgrave,4,0,3364,88,7,114.50,0,14,0,0,0,0,0,0,0.00,0.00,0.00
Bears,CHI,0,WR,551029666,Garrett Wilson,5,0,2040,5,8,35.70,2,11,0,8,0,0,2,6,0.25,3.00,1.18
Bears,CHI,0,WR,551028836,George Pickens,5,5,1888,14,7,35.20,1,10,0,7,0,0,1,7,0.14,7.00,0.70
Bengals,CIN,1,TE,551026883,Howie Gabriel,1,0,4203,84,1,2.80,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Bengals,CIN,1,HB,551027537,Jahlil Johnson,1,0,4222,16,13,34.40,37,10,0,43,1,1,25,165,1.92,4.46,10.28
Bengals,CIN,1,WR,551029836,Marques Dailey,1,0,3755,87,2,0.00,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Bengals,CIN,1,QB,551028650,Frank Altman,2,0,4089,3,13,60.16,48,5,1,19,4,0,6,216,0.46,4.50,15.46
Bengals,CIN,1,TE,551028946,Tip Reiman,3,0,10225,81,1,0.00,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Bengals,CIN,1,WR,551029716,Xavier Worthy,3,0,10305,1,5,24.30,0,6,0,0,0,0,0,0,0.00,0.00,0.00
Bengals,CIN,1,TE,551029270,Brenton Strange,4,0,2415,88,1,-2.80,1,3,1,0,0,0,0,-8,0.00,-8.00,-0.89
Bengals,CIN,1,WR,551027973,Jalin Hyatt,4,0,2219,13,2,0.00,0,3,0,0,0,0,0,0,0.00,0.00,0.00
Bengals,CIN,1,HB,551027144,Zach Charbonnet,4,3,1919,26,2,1.30,2,0,0,1,0,0,3,-1,1.50,-0.50,-0.20
Bengals,CIN,1,HB,551029539,Jaylen Warren,5,0,2012,27,13,47.20,117,12,1,27,5,1,114,437,8.77,3.74,31.57
Bengals,CIN,1,FB,551027981,Alec Ingold,8,0,9514,47,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Bengals,CIN,1,WR,551028080,Diontae Johnson,8,0,9529,14,6,49.90,2,10,0,6,0,0,1,5,0.17,2.50,0.04
Bengals,CIN,1,WR,551028226,Christian Kirk,9,7,8963,89,5,12.10,3,2,1,3,0,0,0,-1,0.00,-0.33,-0.42
Bills,BUF,2,TE,551026965,Gabe Burrell,0,0,3763,83,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Bills,BUF,2,FB,551029532,James Stewart,0,0,3410,45,2,3.00,0,2,0,0,0,0,0,0,0.00,0.00,0.00
