id,teamId,league,displayName,abbrName,cityName,conferenceName,defScheme,divName,injuryCount,logoId,nickName,offScheme,ovrRating,primaryColor,secondaryColor,userName,awayLosses,awayTies,awayWins,calendarYear,conferenceId,confLosses,confTies,confWins,capRoom,capAvailable,capSpent,defPassYds,defPassYdsRank,defRushYds,defRushYdsRank,defTotalYds,defTotalYdsRank,divisionId,divLosses,divisionName,divTies,divWins,homeLosses,homeTies,homeWins,netPts,offPassYds,offPassYdsRank,offRushYds,offRushYdsRank,offTotalYds,offTotalYdsRank,ptsAgainstRank,ptsForRank,playoffStatus,prevRank,ptsAgainst,ptsFor,rank,seed,seasonIndex,stageIndex,totalLosses,totalTies,totalWins,teamName,teamOvr,tODiff,weekIndex,winLossStreak,winPct,trade_block_comments,banner,footer_banner
1281492,758644736,Magtus,49ers,SF,San Francisco,NFC,20,NFC West,0,14,Niners,6,82,11141120,11506269,,1,0,0,2025,750649344,5,0,0,280400000,78470000,201930000,1576,16,512,17,2088,16,753795079,3,NFC West,0,0,5,0,0,-62,1458,23,499,15,1957,22,29,21,0,14,33,23,32,16,1,1,6,0,0,49ers,82,-5,6,250,0.00,,,
1281483,758644737,Magtus,Bears,CHI,Chicago,NFC,11,NFC North,5,0,Bears,10,84,726570,15089920,Spaz3rdBars,3,0,1,2025,750649344,5,0,0,280400000,107540000,172860000,1619,18,496,14,2115,17,753795077,3,NFC North,0,0,2,0,0,-83,1507,19,465,18,1972,21,27,30,0,32,32,18,29,14,1,1,5,0,1,Bears,84,-12,6,254,0.17,,,
1281466,758644738,Magtus,Bengals,CIN,Cincinnati,AFC,11,AFC North,1,1,Bengals,2,82,16469780,0,SpicyPumpkinYT,3,0,1,2025,749207552,4,0,0,280400000,71720000,208680000,1535,14,544,23,2079,15,753795073,1,AFC North,0,0,1,0,1,-41,1045,31,487,16,1532,31,13,29,0,31,25,18,25,13,1,1,4,0,2,Bengals,82,0,6,255,0.33,,,
1281475,758644739,Magtus,Bills,BUF,Buffalo,AFC,11,AFC East,1,2,Bills,6,86,798338,13961738,Vix2017,0,0,4,2025,749207552,1,0,6,280400000,82720000,197680000,1560,15,319,2,1879,8,753795072,0,AFC East,0,4,1,0,2,147,2010,5,786,2,2796,2,2,3,1,1,17,38,3,5,1,1,1,0,6,Bills,86,17,6,2,0.86,,,
1281477,758644740,Magtus,Broncos,DEN,Denver,AFC,11,AFC West,1,3,Broncos,4,84,664387,16534530,Taekwondo826,1,0,1,2025,749207552,3,0,0,280400000,96740000,183660000,1882,27,465,10,2347,26,753795075,1,AFC West,0,0,3,0,1,-17,1461,22,652,5,2113,15,23,17,0,7,30,27,26,14,1,1,4,0,2,Broncos,84,3,6,255,0.33,,,
1281467,758644741,Magtus,Browns,CLE,Cleveland,AFC,15,AFC North,3,4,Browns,2,85,16727040,3218688,SIEGE A 13,1,0,1,2025,749207552,2,0,1,280400000,4294057296,281310000,1742,22,495,13,2237,21,753795073,1,AFC North,0,1,2,0,2,39,1860,8,575,9,2435,7,20,6,0,20,29,35,18,10,1,1,3,0,3,Browns,85,7,6,2,0.50,,,
1281487,758644742,Magtus,Buccaneers,TB,Tampa Bay,NFC,14,NFC South,1,5,Bucs,1,88,10685741,4078133,SCADE0,2,0,1,2025,750649344,2,0,1,280400000,16720000,263680000,1054,1,362,4,1416,1,753795078,2,NFC South,0,0,1,0,1,19,1178,29,647,7,1825,26,18,10,0,16,26,30,20,10,1,1,3,0,2,Buccaneers,88,-1,6,255,0.40,,,
1281495,758644743,Magtus,Cardinals,ARI,Arizona,NFC,13,NFC West,0,6,Cardinals,1,81,8847399,16777215,TheyCallMeGrube,0,0,3,2025,750649344,1,0,3,280400000,117260000,163140000,1316,6,668,30,1984,12,753795079,0,NFC West,0,3,3,0,0,-5,1497,21,421,22,1918,24,10,24,1,24,23,22,16,7,1,1,3,0,3,Cardinals,81,-2,6,3,0.50,,,
1281478,758644746,Magtus,Chargers,LAC,Los Angeles,AFC,17,AFC West,1,7,Bolts,1,85,32966,16761358,FRIG0FF69,0,0,3,2025,749207552,2,0,4,280400000,43570000,236830000,1583,17,469,11,2052,13,753795075,1,AFC West,0,1,3,0,1,2,1913,7,806,1,2719,4,11,18,0,13,24,24,12,8,1,1,3,0,4,Chargers,85,-2,6,1,0.57,,,
1281479,758644747,Magtus,Chiefs,KC,Kansas City,AFC,14,AFC West,3,8,Chiefs,0,85,14882871,15641886,FlightSun6,0,0,3,2025,749207552,1,0,5,280400000,88110000,192290000,1267,4,537,21,1804,4,753795075,1,AFC West,0,3,1,0,2,80,1309,27,398,28,1707,27,1,14,1,28,15,28,4,2,1,1,1,0,5,Chiefs,85,18,6,255,0.83,,,
