rookieYear,throwOnRunRating,powerMovesRating,dropOpenPassTrait,hPCatchTrait,kickAccRating,dLSpinTrait,runBlockFinesseRating,throwPowerRating,homeState,agilityRating,posCatchTrait,hitPowerRating,legacyScore,throwAccShortRating,stiffArmRating,routeRunShortRating,feetInBoundsTrait,pressRating,height,rosterId,injuryLength,injuryType,pursuitRating,leadBlockRating,confRating,breakTackleRating,jukeMoveRating,throwAccDeepRating,dLBullRushTrait,dLSwimTrait,capReleasePenalty,devTrait,catchRating,capHit,lastName,age,staminaRating,contractBonus,strengthRating,contractLength,desiredLength,sensePressureTrait,bigHitTrait,passBlockFinesseRating,awareRating,isFreeAgent,runBlockPowerRating,capReleaseNetSavings,highMotorTrait,routeRunMedRating,productionGrade,tackleRating,throwAwayTrait,experiencePoints,bCVRating,sizeGrade,isOnIR,contractSalary,runBlockRating,durabilityGrade,birthDay,coverBallTrait,skillPoints,predictTrait,teamSchemeOvr,playBallTrait,birthMonth,kickPowerRating,jumpRating,playActionRating,toughRating,physicalGrade,desiredBonus,homeTown,desiredSalary,passBlockRating,passBlockPowerRating,isOnPracticeSquad,finesseMovesRating,specCatchRating,tightSpiralTrait,manCoverRating,draftPick,zoneCoverRating,birthYear,carryRating,weight,reSignStatus,intangibleGrade,teamId,speedRating,breakSackRating,yACCatchTrait,runStyle,portraitId,college,firstName,impactBlockRating,draftRound,changeOfDirectionRating,truckRating,decisionMakerTrait,jerseyNum,blockShedRating,throwUnderPressureRating,yearsPro,spinMoveRating,clutchTrait,releaseRating,rosterGoalList,penaltyTrait,stripBallTrait,qBStyleTrait,position,injuryRating,fightForYardsTrait,signatureSlotList,accelRating,playerSchemeOvr,throwAccRating,kickRetRating,playerBestOvr,presentationId,playRecRating,scheme,lBStyleTrait,throwAccMidRating,contractYearsLeft,routeRunDeepRating,isActive,cITRating
2023,29,10,0,0,16,0,32,34,42,97,1,19,3136,29,55,84,1,10,70,551029501,4,97,34,22,63,81,91,19,0,0,8400000,3,90,20340000,Waddle,28,89,34200000,57,4,4,1,0,19,90,False,23,11940000,0,90,61,29,0,6792,93,79,False,41400000,46,0,25,4,0,0,92,1,11,19,91,20,85,93,52760000,Houston,64880000,32,22,False,10,92,0,14,15,19,1998,77,182,2,92,758644770,97,28,1,3,1374,Alabama,Jaylen,41,3,96,41,2,17,27,25,6,84,0,88,[],1,0,2,WR,88,1,"[{'locked': False, 'ovrThreshold': 0, 'signatureAbility': {'signatureLogoId': 1183, 'marketplaceAbilityAlias': '', 'signatureDeactivationDescription': 'Consecutive passes not targeted', 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureTitle': 'Wrecking Ball', 'signatureActivationDescription': 'Make 10+ yard receptions', 'activationId': '', 'deactivationId': '', 'startActivated': False, 'isUnlocked': False, 'abilityGUID': '', 'abilityRank': 'ABILITIESRANK_BRONZE', 'isPassive': False, 'signatureDescription': ""Wrecking Ball runners don't avoid contact. They create it. When they enter the zone, this ability increases their success rate on trucks and stiff arms.""}, 'isEmpty': False}, {'locked': False, 'ovrThreshold': 75, 'signatureAbility': {'signatureLogoId': 1345, 'marketplaceAbilityAlias': '', 'signatureDeactivationDescription': '', 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureTitle': 'Short In Elite', 'signatureActivationDescription': '', 'activationId': '', 'deactivationId': '', 'startActivated': False, 'isUnlocked': False, 'abilityGUID': '', 'abilityRank': 'ABILITIESRANK_BRONZE', 'isPassive': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes less than 10 yards from the LoS, inside the numbers'}, 'isEmpty': False}, {'locked': False, 'ovrThreshold': 80, 'signatureAbility': {'signatureLogoId': 1333, 'marketplaceAbilityAlias': '', 'signatureDeactivationDescription': '', 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureTitle': 'Mid In Elite', 'signatureActivationDescription': '', 'activationId': '', 'deactivationId': '', 'startActivated': False, 'isUnlocked': False, 'abilityGUID': '', 'abilityRank': 'ABILITIESRANK_BRONZE', 'isPassive': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes 10-20 yards from the LoS, inside the numbers'}, 'isEmpty': False}, {'locked': False, 'ovrThreshold': 85, 'signatureAbility': {'signatureLogoId': 1392, 'marketplaceAbilityAlias': '', 'signatureDeactivationDescription': '', 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureTitle': 'Runoff Elite', 'signatureActivationDescription': '', 'activationId': '', 'deactivationId': '', 'startActivated': False, 'isUnlocked': False, 'abilityGUID': '', 'abilityRank': 'ABILITIESRANK_BRONZE', 'isPassive': False, 'signatureDescription': 'Players with this ability will distract defenders for longer with their runoffs'}, 'isEmpty': False}, {'locked': True, 'ovrThreshold': 95, 'signatureAbility': {'signatureLogoId': 0, 'marketplaceAbilityAlias': '', 'signatureDeactivationDescription': '', 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureTitle': '', 'signatureActivationDescription': '', 'activationId': '', 'deactivationId': '', 'startActivated': False, 'isUnlocked': False, 'abilityGUID': '', 'abilityRank': 'ABILITIESRANK_BRONZE', 'isPassive': False, 'signatureDescription': ''}, 'isEmpty': False}]",97,93,32,84,93,21760,16,6,1,23,1,92,True,92
2025,33,10,0,1,25,0,33,25,43,86,1,21,2184,15,66,89,1,15,73,551028649,7,97,29,25,66,80,91,6,0,0,15600000,3,94,17850000,Nacua,26,79,37200000,65,5,0,0,0,20,95,False,36,10050000,0,96,70,28,0,9779,94,86,False,44400000,56,0,29,4,0,0,91,1,5,29,92,29,95,89,0,Provo,0,30,25,False,10,94,0,10,15,16,2001,72,206,24,91,758644770,93,21,1,1,4785,BYU,Puka,47,5,92,53,2,1,20,29,4,80,0,86,[],1,0,2,WR,95,1,"[{'locked': False, 'ovrThreshold': 0, 'signatureAbility': {'signatureLogoId': 1305, 'marketplaceAbilityAlias': '', 'signatureDeactivationDescription': 'Consecutive passes not targeted', 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureTitle': 'Ankle Breaker', 'signatureActivationDescription': 'Make 20+ yard receptions', 'activationId': '', 'deactivationId': '', 'startActivated': False, 'isUnlocked': False, 'abilityGUID': '', 'abilityRank': 'ABILITIESRANK_BRONZE', 'isPassive': False, 'signatureDescription': ""Truly devastating receiving threats are the ones that catch and can't be caught. When they enter the zone, they have increased fakeout rates on spin/juke/hurdle after the catch.""}, 'isEmpty': False}, {'locked': False, 'ovrThreshold': 75, 'signatureAbility': {'signatureLogoId': 1346, 'marketplaceAbilityAlias': '', 'signatureDeactivationDescription': '', 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureTitle': 'Short Out Elite', 'signatureActivationDescription': '', 'activationId': '', 'deactivationId': '', 'startActivated': False, 'isUnlocked': False, 'abilityGUID': '', 'abilityRank': 'ABILITIESRANK_BRONZE', 'isPassive': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes less than 10 yards from the LoS, outside the numbers'}, 'isEmpty': False}, {'locked': False, 'ovrThreshold': 80, 'signatureAbility': {'signatureLogoId': 1333, 'marketplaceAbilityAlias': '', 'signatureDeactivationDescription': '', 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureTitle': 'Mid In Elite', 'signatureActivationDescription': '', 'activationId': '', 'deactivationId': '', 'startActivated': False, 'isUnlocked': False, 'abilityGUID': '', 'abilityRank': 'ABILITIESRANK_BRONZE', 'isPassive': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes 10-20 yards from the LoS, inside the numbers'}, 'isEmpty': False}, {'locked': False, 'ovrThreshold': 85, 'signatureAbility': {'signatureLogoId': 1317, 'marketplaceAbilityAlias': '', 'signatureDeactivationDescription': '', 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureTitle': 'Deep In Elite', 'signatureActivationDescription': '', 'activationId': '', 'deactivationId': '', 'startActivated': False, 'isUnlocked': False, 'abilityGUID': '', 'abilityRank': 'ABILITIESRANK_BRONZE', 'isPassive': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes 20+ yards from the LoS, inside the numbers'}, 'isEmpty': False}, {'locked': True, 'ovrThreshold': 95, 'signatureAbility': {'signatureLogoId': 0, 'marketplaceAbilityAlias': '', 'signatureDeactivationDescription': '', 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureTitle': '', 'signatureActivationDescription': '', 'activationId': '', 'deactivationId': '', 'startActivated': False, 'isUnlocked': False, 'abilityGUID': '', 'abilityRank': 'ABILITIESRANK_BRONZE', 'isPassive': False, 'signatureDescription': ''}, 'isEmpty': False}]",92,92,32,35,92,22811,15,3,2,10,2,94,True,91
2025,19,33,0,0,17,0,34,25,19,90,0,69,1493,17,53,39,0,86,74,551026827,4,97,74,24,60,64,77,12,0,0,19500000,1,67,13000000,Banks,26,91,24500000,60,4,0,1,0,29,80,False,34,6500000,1,36,74,74,0,13851,67,96,False,26900000,34,0,3,3,0,0,89,1,3,16,98,6,85,92,0,Baltimore,0,29,29,False,41,61,0,90,20,89,2001,55,205,24,89,758644770,94,20,0,3,1120,Maryland,Deonte,51,6,92,48,2,3,55,14,4,69,0,41,[],0,0,2,CB,89,0,[],97,89,26,54,89,23052,84,20,2,14,3,32,True,57
2023,6,62,0,0,11,0,45,13,42,74,0,87,2040,6,31,20,0,46,71,551026936,0,97,95,17,58,21,42,6,1,0,19200000,1,64,10120000,Bolton,27,95,36500000,74,6,0,1,1,45,91,False,45,3720000,1,10,75,94,0,10592,32,85,False,23500000,45,0,10,3,0,0,90,0,3,20,78,6,89,82,0,Frisco,0,45,45,False,50,37,0,74,15,74,2000,54,237,24,90,758644770,87,17,0,5,977,Missouri,Nick,78,7,72,29,2,32,86,16,6,38,0,15,[],1,0,2,MLB,94,0,[],84,90,35,10,90,21474,95,11,2,6,3,6,True,34
2023,6,49,0,0,20,0,45,24,9,84,0,82,2238,6,35,18,0,44,75,551027308,0,97,91,18,60,21,36,6,0,1,54000000,1,68,26100000,Davis,28,87,57500000,73,4,0,1,0,45,86,False,45,8100000,1,9,76,93,0,16891,44,99,False,33000000,29,0,12,4,0,0,73,1,12,20,95,6,76,85,0,Ludowici,0,23,45,False,60,52,0,74,15,80,1998,52,234,24,73,758644770,90,12,0,13,1589,Kentucky,Jamin,77,9,74,28,2,50,78,12,6,28,0,12,[],1,1,2,ROLB,89,0,[],93,88,21,10,88,21917,85,11,2,6,3,5,True,44
2022,6,42,0,0,11,0,35,23,42,87,0,85,1081,6,43,20,0,73,75,551027342,4,97,82,20,62,37,65,6,0,0,10800000,1,75,17870000,Delpit,28,94,19200000,60,4,0,1,0,35,84,False,35,12470000,0,15,80,81,0,9013,60,99,False,42000000,35,0,20,2,0,0,83,2,9,14,89,6,93,85,0,Houston,0,35,35,False,51,70,0,72,20,88,1998,69,208,24,83,758644770,89,15,0,13,249,LSU,Grant,56,10,84,38,2,9,55,18,7,56,0,20,[],1,0,2,SS,86,0,[],91,86,29,55,86,21019,85,11,2,6,2,10,True,60
2022,28,22,0,0,12,0,19,38,37,90,0,30,3364,30,80,73,0,16,69,551029299,5,97,36,33,61,85,91,15,0,0,4500000,1,70,10710000,Swift,28,88,16000000,68,4,3,0,0,35,85,False,23,6210000,0,66,35,31,0,17655,92,91,False,20800000,32,0,14,3,0,0,88,1,1,18,93,17,85,90,11440000,Philadelphia,13120000,53,32,False,16,59,0,16,15,13,1999,89,215,2,88,758644770,91,23,0,6,599,Georgia,D'Andre,41,11,92,75,2,4,28,19,7,87,0,59,[],1,0,2,HB,89,1,[],92,88,26,63,88,20920,17,3,1,25,1,59,True,61
2020,6,23,0,0,13,0,35,20,17,92,0,59,1415,6,27,15,0,68,70,551028004,8,7,68,13,65,45,79,6,0,0,1500000,0,75,4000000,Jackson,31,91,6000000,49,4,1,1,0,35,81,False,35,2500000,0,12,72,49,0,19432,69,99,False,10000000,35,0,8,2,0,0,76,2,11,17,97,6,67,90,1270000,Metarie,2110000,35,35,False,34,73,0,79,15,73,1995,63,180,2,76,758644770,94,17,0,9,8936,LSU,Donte,42,13,91,17,2,26,44,18,9,75,0,12,[],1,1,2,CB,84,0,[],92,79,19,77,79,13169,78,20,1,6,1,10,True,60
2025,10,30,1,1,21,0,66,32,27,86,0,56,4,15,69,66,1,26,79,551029543,0,97,51,63,60,65,67,6,0,0,300000,0,78,2250000,Washington,26,82,1200000,78,4,3,1,0,61,71,False,64,1950000,1,62,12,55,0,5505,81,99,False,7800000,67,0,17,4,0,0,75,1,8,15,88,6,87,80,10980000,Las Vegas,6700000,64,64,False,34,81,0,18,20,23,2001,72,264,2,75,758644770,84,19,1,13,2453,Georgia,Darnell,71,18,79,69,2,80,51,15,4,62,0,67,[],0,0,2,TE,91,1,[],86,75,39,15,75,22824,15,3,2,10,1,53,True,83
2021,6,43,0,1,20,0,80,30,32,67,1,42,897,6,32,29,0,10,75,551026968,4,97,41,85,57,38,22,6,1,1,200000,0,56,1750000,Bradbury,32,87,800000,89,4,1,1,0,71,85,False,75,1550000,0,21,85,44,0,38353,45,92,False,6200000,80,0,20,4,0,0,74,1,6,21,76,6,89,85,1130000,Charlotte,2110000,74,73,False,34,40,0,12,15,15,1995,46,300,2,74,758644770,74,12,0,1,9393,N.C. State,Garrett,80,23,59,49,2,56,42,12,8,19,0,41,[],0,0,2,C,89,1,[],78,74,30,10,74,20372,30,6,1,6,1,14,True,42
