fullName,passerRating,passYds,passYdsPerGame,passCompPct,rosterId,passYdsPerAtt,passComp,scheduleId,passPts,weekIndex,seasonIndex,passLongest,passSacks,stageIndex,teamId,passInts,passAtt,passTDs,statId
L.Alexander,79.4,297,286.6,63.3333,551029426,9.9,19,543031549,0,0,3,72,1,1,758644771,2,30,1,537789022
T.Tagovailoa,158.3,230,297,85.7143,551029303,16.4286,12,543031549,0,0,3,58,0,1,758644742,0,14,2,537794835
J.Madsen,152,11,2.2,100,551027471,11,1,543031549,0,0,3,11,0,1,758644742,0,1,1,537788548
L.Jackson,92.7,307,281.8,60.5263,551028015,8.07895,23,543031564,0,0,3,36,1,1,758644766,1,38,2,537793398
C.Trent,42.3,2,0.666667,33.3333,551027628,0.666667,1,543031564,0,0,3,2,0,1,758644766,0,3,0,537794044
F.Altman,83.6,363,246,67.5,551028650,9.075,27,543031564,0,0,3,52,2,1,758644738,2,40,1,537789839
D.Maye,114.9,200,242.333,48,551028430,8,12,543031565,0,0,3,35,7,1,758644763,0,25,4,537793126
J.Allen,83,394,261,60.8696,551026737,8.56522,28,543031565,0,0,3,51,4,1,758644751,3,46,3,537792771
B.Allan,129.9,330,265.2,68.9655,551028070,11.3793,20,543031569,0,0,3,76,2,1,758644769,0,29,2,537794508
J.Espinosa,102.5,308,338,58.3333,551028203,8.55556,21,543031569,0,0,3,56,3,1,758644743,1,36,3,537788821
B.Nix,120,319,304.667,82.1429,551028677,11.3929,23,543031572,0,0,3,51,1,1,758644762,2,28,3,537791796
K.Murray,61.5,157,238.6,44,551028636,6.28,11,543031572,0,0,3,28,4,1,758644767,1,25,1,537793194
P.Mahomes,140.4,427,409.667,76,551028389,17.08,19,543031573,0,0,3,67,2,1,758644749,1,25,3,537789175
M.Duggan,136.1,343,271.333,73.6842,551027404,9.02632,28,543031573,0,0,3,45,0,1,758644739,0,38,4,537789892
C.Stroud,72.4,199,300.833,53.8462,551029279,7.65385,14,543031576,0,0,3,35,3,1,758644737,2,26,2,537790427
S.Cohen,68.2,185,183.5,43.4783,551029750,8.04348,10,543031576,0,0,3,45,3,1,758644750,1,23,1,537790396
T.Pleasant,113.8,386,310,69.2308,551028780,9.89744,27,543031594,0,0,3,74,0,1,758644741,2,39,4,537789599
D.Jones,91.5,240,205.8,55.5556,551028130,8.88889,15,543031594,0,0,3,63,1,1,758644747,2,27,3,537789146
B.Young,82.4,126,292,70,551029745,6.3,14,543031570,0,0,3,24,3,1,758644736,1,20,1,537791147
A.Worthy,128,251,83.6667,70.5882,551028207,14.7647,12,543031570,0,0,3,84,1,1,758644736,1,17,3,537791927
J.Daniels,152,297,260.667,92.5926,551027283,11,25,543031570,0,0,3,28,0,1,758644761,0,27,5,537788743
J.Milton III,140.6,328,300.8,90.625,551028545,10.25,29,543031586,0,0,3,36,0,1,758644746,0,32,3,537792982
P.Greco,92.3,220,238.667,66.6667,551027099,9.16667,16,543031586,0,0,3,35,3,1,758644770,1,24,1,537792788
C.Williams,116.3,215,133.5,72.4138,551029616,7.41379,21,543031554,0,0,3,22,0,1,758644765,0,29,2,537790284
J.Burrow,87.9,221,231.8,58.8235,551027067,6.5,20,543031554,0,0,3,32,0,1,758644748,0,34,1,537793600
A.Richardson,44.7,260,220,58.1395,551028964,6.04651,25,543031567,0,0,3,26,0,1,758644758,4,43,1,537789334
B.Schwartz,148,341,285.667,71.4286,551028995,12.1786,20,543031567,0,0,3,58,3,1,758644755,0,28,3,537792419
J.Herbert,81.7,197,279.2,57.6923,551027849,7.57692,15,543031574,0,0,3,52,3,1,758644753,0,26,0,537792527
J.Love,94.1,223,337.333,50,551028353,7.43333,15,543031574,0,0,3,38,0,1,758644759,1,30,3,537791425
J.McCarthy,18.4,76,203,28.5714,551028446,3.61905,6,543031583,0,0,3,20,1,1,758644772,3,21,1,537794283
J.Hurts,131.2,212,284,83.3333,551027970,8.83333,20,543031583,0,0,3,30,1,1,758644752,0,24,2,537791866
T.Lawrence,102.4,448,358.6,63.4146,551028285,10.9268,26,543031577,0,0,3,84,3,1,758644740,3,41,4,537789423
J.Fields,103.2,300,220.667,75,551027526,10.7143,21,543031577,0,0,3,39,3,1,758644764,2,28,2,537794463
M.Willis,146.7,204,312.167,80.9524,551029656,9.71429,17,543031548,0,0,3,27,1,1,758644768,0,21,3,537791110
W.Levis,52.4,175,337.833,68.1818,551028314,7.95455,15,543031548,0,0,3,28,5,1,758644757,3,22,0,537790666
