puntsIn20,stageIndex,puntNetYds,statId,puntTBs,teamId,seasonIndex,puntLongest,rosterId,weekIndex,fullName,puntAtt,scheduleId,puntYds,puntsBlocked,puntNetYdsPerAtt,puntYdsPerAtt
0,1,42,545653110,0,758644742,3,42,551027098,0,J.Camarda,1,543031549,42,0,42,42
2,1,90,545653063,0,758644766,3,46,551029091,0,J.Scott,2,543031564,90,0,45,45
1,1,49,545653456,0,758644738,3,50,551028395,0,B.Mann,1,543031564,50,0,49,50
1,1,251,545653345,0,758644763,3,49,551027652,0,A.Chandler,6,543031565,283,0,41.8333,47.1667
0,1,44,545653098,0,758644751,3,25,551028789,0,R.Patterson,2,543031565,48,0,22,24
1,1,27,545652823,0,758644769,3,27,551028848,0,B.Pinion,1,543031569,27,0,27,27
0,1,61,545652947,2,758644743,3,56,551027191,0,A.Cole,2,543031569,101,0,30.5,50.5
0,1,86,545653655,0,758644767,3,32,551028847,0,E.Pineiro,3,543031572,90,0,28.6667,30
0,1,28,545653490,0,758644749,3,28,551027647,0,B.Gillikin,1,543031573,28,0,28,28
0,1,32,545652737,0,758644739,3,32,551028511,0,E.McPherson,1,543031573,32,0,32,32
1,1,183,545653204,1,758644737,3,58,551029266,0,R.Stonehouse,5,543031576,253,0,36.6,50.6
1,1,168,545653623,0,758644750,3,50,551027112,0,D.Carlson,5,543031576,183,0,33.6,36.6
0,1,38,545652967,0,758644741,3,40,551026832,0,B.Baringer,1,543031594,40,0,38,40
0,1,41,545652908,0,758644747,3,43,551027962,0,C.Ellington,1,543031594,43,0,41,43
0,1,37,545653005,0,758644736,3,37,551026929,0,C.Bojorquez,1,543031570,37,0,37,37
0,1,29,545652971,0,758644746,3,42,551028393,0,M.Knox,1,543031586,42,0,29,42
0,1,83,545653438,1,758644770,3,49,551027074,0,H.Butker,2,543031586,95,0,41.5,47.5
1,1,99,545652976,0,758644765,3,60,551029506,0,C.Waitman,2,543031554,109,0,49.5,54.5
1,1,68,545653244,0,758644748,3,68,551029587,0,D.Whelan,1,543031554,68,0,68,68
2,1,156,545652957,0,758644758,3,49,551027484,0,E.Evans,4,543031567,174,0,39,43.5
2,1,117,545653714,0,758644755,3,43,551029267,0,J.Stout,3,543031567,117,0,39,39
1,1,45,545653767,0,758644753,3,45,551027358,0,M.Dickson,1,543031574,45,0,45,45
0,1,38,545652910,0,758644759,3,38,551028843,0,R.Sheppard,1,543031574,38,0,38,38
0,1,29,545653066,0,758644772,3,34,551029162,0,J.Slye,1,543031583,34,0,29,34
0,1,32,545653115,0,758644764,3,32,551027247,0,M.Dixon,1,543031577,32,0,32,32
2,1,159,545653501,1,758644768,3,56,551026944,0,K.Yates,3,543031548,159,0,53,53
0,1,101,545653572,0,758644757,3,60,551028979,0,B.Robbins,2,543031548,110,0,50.5,55
