rosterId,recPts,recDrops,scheduleId,recYacPerCatch,recTDs,recYdsPerGame,weekIndex,recYds,seasonIndex,recCatchPct,recCatches,teamId,stageIndex,recLongest,recYdsPerCatch,recToPct,recYdsAfterCatch,fullName,statId
551028271,0,0,543031549,2.33333,0,84.6,0,59,3,100,6,758644771,1,15,9.83333,0,14,S.LaPorta,537789041
551029508,0,0,543031549,0,0,9,0,4,3,100,1,758644771,1,4,4,0,0,K.Walker III,537526793
551028729,0,0,543031549,1,0,58.4,0,19,3,100,2,758644771,1,11,9.5,0,2,C.Olave,537791239
551027954,0,1,543031549,14.2,1,97.4,0,150,3,83.3333,5,758644771,1,72,30,0,71,A.Roth,537791320
551029846,0,0,543031549,4,0,44.8,0,17,3,100,2,758644771,1,9,8.5,0,8,T.Bradshaw,537790039
551029609,0,0,543031549,12.3333,0,11.8,0,48,3,100,3,758644771,1,34,16,0,37,J.Wiley,537792653
551028261,0,0,543031549,6.66667,1,64.6667,0,77,3,100,3,758644742,1,58,25.6667,0,20,C.Lamb,537794104
551027499,0,0,543031549,0,0,13.3333,0,17,3,100,1,758644742,1,17,17,0,0,N.Fant,537788778
551027365,0,0,543031549,3,0,1.16667,0,7,3,100,1,758644742,1,7,7,0,3,A.Dillon,537789481
551027468,0,1,543031549,21,0,49.8333,0,47,3,50,1,758644742,1,47,47,0,21,E.Engram,537793608
551028767,0,0,543031549,2,1,57.8333,0,43,3,100,2,758644742,1,26,21.5,0,4,J.Palmer,537794484
551029151,0,0,543031549,13,1,15.25,0,18,3,100,2,758644742,1,11,9,0,26,V.Johnson,537791974
551026730,0,0,543031549,5.5,0,27,0,21,3,100,2,758644742,1,18,10.5,0,11,B.Allen,537793502
551027068,0,0,543031549,3,0,2.2,0,11,3,100,1,758644742,1,11,11,0,3,J.Burton,537788955
551028854,0,1,543031564,3.33333,0,5.2,0,26,3,75,3,758644766,1,19,8.66667,0,10,M.Pittman Jr,537791381
551028839,0,1,543031564,2.8,0,71.6,0,70,3,83.3333,5,758644766,1,31,14,0,14,A.Pierce,537791714
551028473,0,0,543031564,5.11111,2,74,0,133,3,100,9,758644766,1,27,14.7778,0,46,T.Warren,537794437
551028803,0,1,543031564,0,0,0,0,0,3,0,0,758644766,1,0,0,0,0,A.Donahue,537793922
551026798,0,0,543031564,0,0,1.6,0,8,3,100,1,758644766,1,8,8,0,0,C.Austin,537794367
551029481,0,0,543031564,15,0,10.2,0,18,3,100,1,758644766,1,18,18,0,15,C.Brown,537795227
551029891,0,0,543031564,6.8,0,55,0,54,3,100,5,758644766,1,36,10.8,0,34,J.Chavez,537789243
551029716,0,1,543031564,2.5,1,63.4,0,107,3,85.7143,6,758644738,1,43,17.8333,0,15,X.Worthy,537789638
551029539,0,0,543031564,5,0,8,0,22,3,100,2,758644738,1,15,11,0,10,J.Warren,537792914
551029270,0,0,543031564,7.25,0,14.6,0,73,3,100,4,758644738,1,52,18.25,0,29,B.Strange,537789099
551028946,0,1,543031564,3,0,40.4,0,42,3,80,4,758644738,1,14,10.5,0,12,T.Reiman,537790433
551028226,0,1,543031564,2.83333,0,48.6,0,73,3,85.7143,6,758644738,1,28,12.1667,0,17,C.Kirk,537792438
551028080,0,0,543031564,0.6,0,60.4,0,46,3,100,5,758644738,1,13,9.2,0,3,D.Johnson,537526882
551028703,0,0,543031565,2,1,31,0,21,3,100,1,758644763,1,21,21,0,2,R.Odunze,537793111
551028100,0,0,543031565,16.3333,1,78.3333,0,88,3,100,3,758644763,1,35,29.3333,0,49,T.Johnson,537794211
551028795,0,1,543031565,2.5,2,83.8333,0,69,3,80,4,758644763,1,25,17.25,0,10,R.Pearsall,537792078
551029667,0,1,543031565,2,0,28.1667,0,4,3,50,1,758644763,1,4,4,0,2,J.Wilson,537790209
551029707,0,1,543031565,3,0,18.8333,0,18,3,75,3,758644763,1,7,6,0,9,R.Thomas,537794613
551026717,0,0,543031565,3.5,1,91.6667,0,134,3,100,10,758644751,1,51,13.4,0,35,B.Aiyuk,537791395
551027893,0,2,543031565,3.25,0,52.5,0,64,3,66.6667,4,758644751,1,31,16,0,13,T.Hockenson,537793507
551027373,0,0,543031565,3.2,2,18.3333,0,35,3,100,5,758644751,1,8,7,0,16,J.Dobbins,537792405
551027203,0,0,543031565,7.25,0,41.8333,0,85,3,100,4,758644751,1,28,21.25,0,29,N.Collins,537792295
551026857,0,0,543031565,2,0,19.1667,0,19,3,100,1,758644751,1,19,19,0,2,R.Bateman,537793313
551028557,0,0,543031565,12,0,14.6667,0,57,3,100,4,758644751,1,23,14.25,0,48,K.Mitchell,537792612
551029237,0,1,543031569,13,2,100.8,0,156,3,87.5,7,758644769,1,76,22.2857,0,91,A.St. Brown,537794359
551028232,0,1,543031569,17.5,0,31.6,0,58,3,66.6667,2,758644769,1,40,29,0,35,C.Kmet,537795096
551027889,0,0,543031569,11,0,10.2,0,45,3,100,4,758644769,1,19,11.25,0,44,S.Moreland,537789374
551028546,0,0,543031569,8.75,0,69.6,0,55,3,100,4,758644769,1,30,13.75,0,35,M.Mims Jr,537788536
551028591,0,0,543031569,0,0,15.8,0,10,3,100,2,758644769,1,5,5,0,0,R.Moore,537526727
551028807,0,0,543031569,12,0,13.4,0,6,3,100,1,758644769,1,6,6,0,12,D.Peoples-Jones,537794062
551029148,0,0,543031569,8,1,70.8333,0,89,3,100,4,758644743,1,56,22.25,0,32,B.Sinnott,537791410
551028962,0,0,543031569,2.33333,0,54.6667,0,48,3,100,3,758644743,1,29,16,0,7,R.Rice,537790856
551026819,0,0,543031569,3.33333,2,103.833,0,73,3,100,6,758644743,1,32,12.1667,0,20,J.Baker,537794162
551029436,0,1,543031569,5,0,51.6667,0,43,3,80,4,758644743,1,24,10.75,0,20,T.Tucker,537790004
551027942,0,1,543031569,6.25,0,31.6667,0,55,3,80,4,758644743,1,17,13.75,0,25,C.Hubbard,537793440
