rosterId,rushBrokenTackles,rushYdsPerGame,rushPts,scheduleId,rushToPct,rushLongest,weekIndex,seasonIndex,rushYdsPerAtt,rushYdsAfterContact,rushAtt,stageIndex,rushTDs,teamId,rush20PlusYds,rushFum,rushYds,fullName,statId
551028271,1,0,0,543031549,0,0,0,3,0,0,0,1,0,758644771,0,0,0,S.LaPorta,537789041
551029508,3,33,0,543031549,0,9,0,3,2.76471,27,17,1,1,758644771,0,0,47,K.Walker III,537526793
551027954,3,0.6,0,543031549,0,0,0,3,0,0,0,1,0,758644771,0,0,0,A.Roth,537791320
551029846,2,0,0,543031549,0,0,0,3,0,0,0,1,0,758644771,0,0,0,T.Bradshaw,537790039
551027651,0,23,0,543031549,0,4,0,3,4,2,1,1,0,758644771,0,0,4,D.Murrell,537793180
551029303,0,0,0,543031549,0,0,0,3,-1,0,2,1,0,758644742,0,0,-2,T.Tagovailoa,537794835
551028261,2,-0.166667,0,543031549,0,0,0,3,0,0,0,1,0,758644742,0,0,0,C.Lamb,537794104
551027468,1,0,0,543031549,0,0,0,3,0,0,0,1,0,758644742,0,0,0,E.Engram,537793608
551029151,5,52.5,0,543031549,0,22,0,3,4.52941,22,17,1,2,758644742,1,0,77,V.Johnson,537791974
551026730,0,25.8333,0,543031549,0,12,0,3,4.66667,3,3,1,0,758644742,0,0,14,B.Allen,537793502
551027672,0,30.6,0,543031549,0,0,0,3,-1,1,1,1,0,758644742,0,0,-1,T.Gamble,537792191
551027068,1,0,0,543031549,0,0,0,3,0,0,0,1,0,758644742,0,0,0,J.Burton,537788955
551028854,2,0,0,543031564,0,0,0,3,0,0,0,1,0,758644766,0,0,0,M.Pittman Jr,537791381
551027791,1,4.8,0,543031564,0,2,0,3,2,1,1,1,0,758644766,0,0,2,N.Harris,537795108
551028015,0,14.6,0,543031564,0,0,0,3,0,0,1,1,0,758644766,0,0,0,L.Jackson,537793398
551028473,2,0,0,543031564,0,0,0,3,0,0,0,1,0,758644766,0,0,0,T.Warren,537794437
551028496,0,2,0,543031564,0,2,0,3,2,0,1,1,1,758644766,0,0,2,J.McLaughlin,537790130
551029481,0,14.4,0,543031564,0,11,0,3,3.36364,15,11,1,0,758644766,0,0,37,C.Brown,537795227
551029716,1,0,0,543031564,0,0,0,3,0,0,0,1,0,758644738,0,0,0,X.Worthy,537789638
551028650,1,18.2,0,543031564,0,5,0,3,5,0,1,1,1,758644738,0,1,5,F.Altman,537789839
551029539,1,35.6,0,543031564,0,9,0,3,3.16667,9,6,1,0,758644738,0,0,19,J.Warren,537792914
551027537,0,6.4,0,543031564,0,17,0,3,17,3,1,1,0,758644738,0,0,17,J.Johnson,537794770
551028080,1,0,0,543031564,0,0,0,3,0,0,0,1,0,758644738,0,0,0,D.Johnson,537526882
551028430,0,15.1667,0,543031565,0,2,0,3,2,3,1,1,0,758644763,0,2,2,D.Maye,537793126
551028100,2,0,0,543031565,0,0,0,3,0,0,0,1,0,758644763,0,0,0,T.Johnson,537794211
551028795,1,0,0,543031565,0,0,0,3,0,0,0,1,0,758644763,0,0,0,R.Pearsall,537792078
551029707,2,64.5,0,543031565,0,11,0,3,5.33333,15,12,1,0,758644763,0,0,64,R.Thomas,537794613
551027893,2,0,0,543031565,0,0,0,3,0,0,0,1,0,758644751,0,0,0,T.Hockenson,537793507
551027373,0,6,0,543031565,0,0,0,3,0,0,1,1,0,758644751,0,0,0,J.Dobbins,537792405
551027203,1,0,0,543031565,0,0,0,3,0,0,0,1,0,758644751,0,0,0,N.Collins,537792295
551028557,4,13.6667,0,543031565,0,7,0,3,1.6,8,10,1,0,758644751,0,0,16,K.Mitchell,537792612
551029895,1,0,0,543031565,0,0,0,3,0,0,0,1,0,758644751,0,0,0,J.Justice,537526845
551029237,0,0,0,543031569,0,0,0,3,0,0,0,1,0,758644769,0,1,0,A.St. Brown,537794359
551028070,0,22.8,0,543031569,0,7,0,3,2.625,6,8,1,1,758644769,0,0,21,B.Allan,537794508
551027889,5,25,0,543031569,0,69,0,3,7.69231,27,13,1,2,758644769,1,0,100,S.Moreland,537789374
551029321,0,77.8,0,543031569,0,4,0,3,3.25,4,4,1,0,758644769,0,0,13,J.Taylor,537789656
551028203,0,1.83333,0,543031569,0,9,0,3,9,0,1,1,0,758644743,0,0,9,J.Espinosa,537788821
551026819,1,0.333333,0,543031569,0,0,0,3,0,0,0,1,0,758644743,0,0,0,J.Baker,537794162
551027942,0,43.1667,0,543031569,0,12,0,3,3.55556,9,9,1,0,758644743,0,1,32,C.Hubbard,537793440
551028677,0,9,0,543031572,0,2,0,3,0.333333,0,3,1,0,758644762,0,0,1,B.Nix,537791796
551028765,4,54.8333,0,543031572,0,11,0,3,5.5,30,14,1,1,758644762,0,0,77,I.Pacheco,537791308
551027598,1,0,0,543031572,0,0,0,3,0,0,0,1,0,758644762,0,0,0,J.Gilyard,537526836
551028439,2,0,0,543031572,0,0,0,3,0,0,0,1,0,758644762,0,0,0,T.McBride,537790366
551028012,1,1.66667,0,543031572,0,1,0,3,1,0,1,1,0,758644762,0,0,1,N.Meyer,537790987
551029778,1,29.8,0,543031572,0,7,0,3,3.28571,11,7,1,0,758644767,0,0,23,D.Brothers,537791622
551029335,1,0,0,543031572,0,0,0,3,0,0,0,1,0,758644767,0,0,0,G.Chambers,537789774
551028636,0,41.6,0,543031572,0,24,0,3,11,6,3,1,0,758644767,1,0,33,K.Murray,537793194
551029751,4,15,0,543031572,0,12,0,3,6.75,3,4,1,0,758644767,0,0,27,B.Tharpe,537792708
551028732,1,0,0,543031572,0,0,0,3,0,0,0,1,0,758644767,0,0,0,J.Oliver,537793561
551027636,1,42.25,0,543031573,0,7,0,3,2.42857,8,7,1,0,758644749,0,0,17,J.Gibbs,537790883
551027543,1,0,0,543031573,0,0,0,3,0,0,0,1,0,758644749,0,0,0,Z.Flowers,537793382
551029729,18,103.167,0,543031573,0,38,0,3,6.38889,29,18,1,0,758644739,2,0,115,J.Wright,537791880
551027404,0,9.16667,0,543031573,0,5,0,3,5,0,1,1,0,758644739,0,0,5,M.Duggan,537789892
551027267,1,0,0,543031573,0,0,0,3,0,0,0,1,0,758644739,0,0,0,D.Culp,537793656
551029085,1,1.5,0,543031573,0,0,0,3,0,0,0,1,0,758644739,0,0,0,A.Schwartz,537791084
551027296,2,4,0,543031573,0,8,0,3,3,5,2,1,0,758644739,0,0,6,C.Doolittle,537793713
551029386,1,0,0,543031573,0,0,0,3,0,0,0,1,0,758644739,0,0,0,T.Thornton,537526276
551029479,1,0,0,543031573,0,0,0,3,0,0,0,1,0,758644739,0,0,0,C.Myers,537791351
551029279,0,13.3333,0,543031576,0,4,0,3,3,0,2,1,0,758644737,0,0,6,C.Stroud,537790427
551028836,1,1.16667,0,543031576,0,0,0,3,0,0,0,1,0,758644737,0,0,0,G.Pickens,537790102
551029674,1,0,0,543031576,0,0,0,3,0,0,0,1,0,758644737,0,0,0,R.Wilson,537792137
551027870,1,0,0,543031576,0,0,0,3,0,0,0,1,0,758644737,0,0,0,E.Higgins,537791515
551028424,0,28.6667,0,543031576,0,9,0,3,2.6,2,5,1,0,758644737,0,1,13,E.Cooper,537791956
551028451,2,10.1667,0,543031576,0,0,0,3,-2,0,1,1,0,758644737,0,0,-2,N.Fulton,537526487
551028432,1,0,0,543031576,0,0,0,3,0,0,0,1,0,758644750,0,0,0,M.Mayer,537792339
551029853,2,14.8333,0,543031576,0,0,0,3,0,0,0,1,0,758644750,0,0,0,D.Dailey,537526288
551027183,1,0.333333,0,543031576,0,0,0,3,-3,0,1,1,0,758644750,0,0,-3,J.Jefferson,537791202
551027016,1,37,0,543031576,0,11,0,3,3.53846,17,13,1,0,758644750,0,0,46,C.Brown,537791434
551029750,0,2,0,543031576,0,0,0,3,-1,0,3,1,0,758644750,0,0,-3,S.Cohen,537790396
551028123,3,2.25,0,543031576,0,6,0,3,1.5,5,6,1,1,758644750,0,0,9,R.Jackson,537788880
551027939,2,21.6667,0,543031576,0,10,0,3,2.2,3,5,1,0,758644750,0,0,11,D.Hinton,537794296
551029862,1,0,0,543031576,0,0,0,3,0,0,0,1,0,758644750,0,0,0,Z.Nash,537791266
551026987,1,0.2,0,543031576,0,1,0,3,1,2,1,1,0,758644750,0,0,1,J.Reddick,537793878
551028365,0,1.83333,0,543031576,0,0,0,3,0,1,1,1,0,758644750,0,0,0,H.Luepke,537793933
551027664,1,0,0,543031594,0,0,0,3,0,0,0,1,0,758644741,0,0,0,D.Goedert,537795201
551028645,1,2.5,0,543031594,0,0,0,3,0,0,0,1,0,758644741,0,0,0,R.McCray,537791213
551026789,1,24.8333,0,543031594,0,6,0,3,6,1,1,1,0,758644741,0,0,6,A.Moore,537526896
551027551,1,28.1667,0,543031594,0,20,0,3,4.5,6,6,1,0,758644741,1,0,27,J.Ford,537795211
551027226,0,0,0,543031594,0,0,0,3,0,0,0,1,0,758644741,0,1,0,A.Cooper,537794263
551028780,1,26.6667,0,543031594,0,14,0,3,6.6,5,5,1,0,758644741,0,0,33,T.Pleasant,537789599
551029593,4,60.8,0,543031594,0,16,0,3,4.66667,22,15,1,0,758644747,0,0,70,R.White,537794361
551028902,1,0,0,543031594,0,0,0,3,0,0,0,1,0,758644747,0,0,0,Z.Tramer,537789917
551029835,1,0,0,543031594,0,0,0,3,0,0,0,1,0,758644747,0,0,0,C.Johnson,537526903
551027400,1,0,0,543031594,0,0,0,3,0,0,0,1,0,758644747,0,0,0,L.Altman,537790344
551028661,0,1.8,0,543031594,0,2,0,3,2,3,1,1,0,758644747,0,0,2,A.Ruiz,537795178
551029671,2,0.6,0,543031594,0,0,0,3,0,0,0,1,0,758644747,0,1,0,M.Wilson,537793986
551028130,0,13.8,0,543031594,0,8,0,3,4.5,6,4,1,0,758644747,0,0,18,D.Jones,537789146
551027326,3,0,0,543031594,0,0,0,3,0,0,0,1,0,758644747,0,0,0,T.Davis-Price,537526712
551029630,1,0.4,0,543031570,0,0,0,3,0,0,0,1,0,758644736,0,0,0,J.Williams,537792850
551027281,0,9.6,0,543031570,0,3,0,3,0.25,7,4,1,1,758644736,0,0,1,B.Autry,537792589
551029798,1,0,0,543031570,0,0,0,3,0,0,0,1,0,758644736,0,0,0,D.Logan,537527019
551029468,0,6.6,0,543031570,0,0,0,3,0,2,1,1,0,758644736,0,0,0,S.Vaki,537791226
551027522,4,0,0,543031570,0,0,0,3,0,0,0,1,0,758644736,0,0,0,J.Ferguson,537791834
551029834,2,0,0,543031570,0,0,0,3,0,0,0,1,0,758644736,0,0,0,M.Gomez,537526656
551028207,1,1.33333,0,543031570,0,4,0,3,4,1,1,1,0,758644736,0,0,4,A.Worthy,537791927
551029860,1,4.6,0,543031570,0,0,0,3,0,0,0,1,0,758644736,0,0,0,B.Mack,537789510
551027283,0,25.1667,0,543031570,0,4,0,3,2,1,3,1,0,758644761,0,0,6,J.Daniels,537788743
551028229,1,0,0,543031570,0,0,0,3,0,0,0,1,0,758644761,0,0,0,G.Kittle,537793518
551027221,4,41.5,0,543031570,0,75,0,3,13.5,69,8,1,1,758644761,1,0,108,J.Cook,537793718
551028441,1,0,0,543031570,0,0,0,3,0,0,0,1,0,758644761,0,1,0,L.McCaffrey,537526823
551028064,4,60.6667,0,543031570,0,31,0,3,8.09091,19,11,1,1,758644761,1,0,89,M.Barclay,537788547
551027795,0,1.4,0,543031586,0,7,0,3,7,0,1,1,0,758644746,0,0,7,M.Harrison Jr,537794210
551026890,3,58.4,0,543031586,0,9,0,3,3.83333,3,18,1,2,758644746,0,0,69,T.Benson,537790888
551028545,0,6.2,0,543031586,0,8,0,3,3.66667,0,3,1,0,758644746,0,0,11,J.Milton III,537792982
551028024,0,10.8,0,543031586,0,8,0,3,5.6,0,5,1,0,758644746,0,0,28,J.Jacobs,537790640
551028649,0,1,0,543031586,0,8,0,3,8,0,1,1,0,758644770,0,0,8,P.Nacua,537794110
551029299,0,8.83333,0,543031586,0,1,0,3,1,0,1,1,1,758644770,0,0,1,D.Swift,537793595
551027099,0,14.6667,0,543031586,0,6,0,3,4,0,4,1,0,758644770,0,0,16,P.Greco,537792788
551029639,1,1.16667,0,543031586,0,6,0,3,6,1,1,1,0,758644770,0,0,6,K.Williams,537792738
551028861,0,57.5,0,543031586,0,5,0,3,3.25,0,8,1,0,758644770,0,0,26,J.Shields,537789383
551029482,2,17.6,0,543031554,0,7,0,3,3.41176,1,17,1,1,758644765,0,0,58,D.Vaughn,537791749
551029616,0,13.5,0,543031554,0,9,0,3,4.5,0,6,1,0,758644765,0,0,27,C.Williams,537790284
551026918,0,39,0,543031554,0,3,0,3,2.25,0,4,1,1,758644765,0,0,9,B.Bright,537791623
551028088,1,0,0,543031554,0,0,0,3,0,0,0,1,0,758644765,0,0,0,B.Thompson,537792073
551027067,0,25.2,0,543031554,0,9,0,3,5.22222,0,9,1,0,758644748,0,0,47,J.Burrow,537793600
551029598,1,1,0,543031554,0,7,0,3,7,0,1,1,0,758644748,0,0,7,C.McKinney,537791666
551026935,2,19.8,0,543031554,0,6,0,3,3.1,0,10,1,1,758644748,0,0,31,C.Cooks,537794641
551027744,2,4.6,0,543031554,0,7,0,3,5.66667,1,3,1,0,758644748,0,0,17,B.Beckham,537526947
551028964,0,13,0,543031567,0,1,0,3,-1,3,2,1,0,758644758,0,0,-2,A.Richardson,537789334
551027477,1,49.4,0,543031567,0,3,0,3,2,5,3,1,0,758644758,0,0,6,T.Etienne Jr,537790654
551027584,1,0,0,543031567,0,0,0,3,0,0,0,1,0,758644758,0,1,0,P.Freiermuth,537788700
551029843,1,0,0,543031567,0,0,0,3,0,0,0,1,0,758644758,0,0,0,L.Norman,537526492
551026688,0,-1.2,0,543031567,0,0,0,3,-7,0,1,1,0,758644758,0,0,-7,I.Abanikanda,537794498
551028526,1,0,0,543031567,0,0,0,3,0,0,0,1,0,758644755,0,0,0,D.Metcalf,537795131
551027737,6,69.8333,0,543031567,0,18,0,3,6.23077,20,13,1,1,758644755,0,0,81,B.Hall,537790792
551029138,0,-0.333333,0,543031567,0,0,0,3,-2,1,1,1,0,758644755,0,0,-2,M.Kirkpatrick,537793649
551028995,0,0.166667,0,543031567,0,0,0,3,-1,0,1,1,0,758644755,0,0,-1,B.Schwartz,537792419
551029856,1,0,0,543031567,0,0,0,3,0,0,0,1,0,758644755,0,0,0,M.Beckett,537526862
551027849,0,18,0,543031574,0,14,0,3,11.5,0,2,1,0,758644753,0,1,23,J.Herbert,537792527
551029552,1,0.8,0,543031574,0,0,0,3,0,0,0,1,0,758644753,0,0,0,C.Watson,537793161
