divTies,awayLosses,seed,ptsForRank,awayWins,confWins,divisionId,defPassYdsRank,offPassYdsRank,seasonIndex,rank,defRushYds,offRushYds,totalLosses,homeLosses,conferenceId,homeWins,ptsFor,teamId,teamOvr,capAvailable,winPct,divisionName,ptsAgainst,divLosses,playoffStatus,conferenceName,awayTies,confLosses,offRushYdsRank,defRushYdsRank,prevRank,confTies,totalTies,tODiff,capRoom,offTotalYds,winLossStreak,divWins,offTotalYdsRank,teamName,homeTies,calendarYear,defTotalYds,stageIndex,netPts,ptsAgainstRank,defTotalYdsRank,capSpent,totalWins,weekIndex,defPassYds,offPassYds
0,2,5,1,7,7,755105793,29,1,0,6,1322,2897,5,3,750518272,5,32,759955486,90,13560000,0.706,AFC North,22,3,2,AFC,0,5,1,1,0,0,0,8,255400000,7417,2,3,1,Ravens,0,2024,5426,1,165,14,11,241840000,12,18,4104,4520
0,2,3,14,7,9,755105793,30,31,0,4,1419,2160,5,3,750518272,5,23,759955489,83,22840000,0.706,AFC North,19,1,3,AFC,0,3,5,3,0,0,0,17,255400000,5296,1,5,23,Steelers,0,2024,5598,1,67,4,19,232560000,12,18,4179,3136
0,2,6,6,7,7,755105793,21,9,0,9,1897,1451,7,5,750518272,3,27,759955458,83,20970000,0.588,AFC North,23,3,2,AFC,0,5,30,19,0,0,0,8,255400000,5474,255,3,18,Bengals,0,2024,5771,1,58,17,24,234430000,10,18,3874,4023
0,7,14,31,2,4,755105793,18,30,0,28,1913,1552,13,6,750518272,2,16,759955461,84,75140000,0.235,AFC North,25,5,0,AFC,0,8,28,20,0,0,0,-10,255400000,4743,255,1,30,Browns,0,2024,5710,1,-151,26,23,180260000,4,18,3797,3191
0,6,8,15,3,6,755105794,32,18,0,18,1806,1893,9,3,750518272,5,23,759955477,82,53680000,0.471,AFC South,25,2,0,AFC,0,6,15,13,0,0,0,-3,255400000,5536,255,4,16,Jaguars,0,2024,5997,1,-22,28,27,201720000,8,18,4191,3643
0,6,15,23,3,4,755105794,1,20,0,29,2035,1679,13,7,750518272,1,19,759955491,81,49920000,0.235,AFC South,26,5,0,AFC,0,8,21,24,0,0,0,-17,255400000,5300,250,1,22,Titans,0,2024,4995,1,-132,30,2,205480000,4,18,2960,3621
0,6,4,12,3,6,755105794,12,17,0,16,1751,2008,9,3,750518272,5,24,759955490,85,30810000,0.471,AFC South,25,2,3,AFC,0,6,8,8,0,0,0,2,255400000,5663,1,4,12,Texans,0,2024,5345,1,-18,29,8,224590000,8,18,3594,3655
0,6,9,21,3,7,755105794,27,13,0,19,2048,1873,9,3,750518272,5,22,759955468,82,30070000,0.471,AFC South,23,3,0,AFC,0,5,16,25,0,0,0,0,255400000,5627,1,3,13,Colts,0,2024,6049,1,-26,18,29,225330000,8,18,4001,3754
0,4,11,29,5,5,755105792,4,14,0,24,1801,1772,10,6,750518272,2,18,759955471,84,48920000,0.412,AFC East,23,3,0,AFC,0,7,18,11,0,0,0,-1,255400000,5480,1,3,17,Dolphins,0,2024,5051,1,-82,19,4,206480000,7,18,3250,3708
0,4,7,20,5,6,755105792,2,15,0,13,1869,1613,8,4,750518272,4,22,759955478,87,19460000,0.529,AFC East,20,3,2,AFC,0,6,26,16,0,0,0,1,255400000,5313,255,3,21,Jets,0,2024,5078,1,50,8,5,235940000,9,18,3209,3700
0,8,16,32,1,3,755105792,23,32,0,31,2213,1624,14,6,750518272,2,15,759955483,79,69050000,0.176,AFC East,27,5,0,AFC,0,9,25,32,0,0,0,-9,255400000,4442,255,1,32,Patriots,0,2024,6097,1,-203,31,30,186350000,3,18,3884,2818
0,2,2,2,7,8,755105792,17,7,0,3,1781,1918,4,2,750518272,6,28,759955459,84,13140000,0.765,AFC East,18,1,3,AFC,0,4,11,10,0,0,0,8,255400000,5996,1,5,8,Bills,0,2024,5537,1,176,2,17,242260000,13,18,3756,4078
0,5,10,24,4,5,755105795,14,26,0,23,1886,1415,10,5,750518272,3,19,759955484,80,65580000,0.412,AFC West,23,4,0,AFC,0,7,32,18,0,0,0,-4,255400000,4741,2,2,31,Raiders,0,2024,5492,1,-65,23,16,189820000,7,18,3606,3326
0,5,12,27,4,4,755105795,9,28,0,25,1914,1693,10,5,750518272,3,19,759955460,80,17050000,0.412,AFC West,22,4,0,AFC,0,8,20,21,0,0,0,-10,255400000,5006,254,2,26,Broncos,0,2024,5465,1,-51,11,15,238350000,7,18,3551,3313
0,5,13,26,4,4,755105795,13,24,0,26,1723,1625,11,6,750518272,2,19,759955466,81,17930000,0.353,AFC West,20,3,0,AFC,0,8,24,6,0,0,0,2,255400000,4996,252,3,28,Chargers,0,2024,5329,1,-10,6,6,237470000,6,18,3606,3371
0,0,1,5,9,11,755105795,7,2,0,1,1360,1905,1,1,750518272,7,27,759955467,89,12460000,0.941,AFC West,17,1,4,AFC,0,1,14,2,0,0,0,-2,255400000,6229,4,5,3,Chiefs,0,2024,4805,1,166,1,1,242940000,16,18,3445,4324
0,2,7,4,6,8,755105797,31,12,0,8,2049,1913,7,5,751960064,4,27,759955479,88,48560000,0.588,NFC North,23,3,2,NFC,0,4,13,26,0,0,0,9,255400000,5768,255,3,10,Lions,0,2024,6232,1,59,21,32,206840000,10,18,4183,3855
0,2,5,3,6,7,755105797,20,3,0,7,1710,2325,6,4,751960064,5,27,759955481,83,36110000,0.647,NFC North,23,2,2,NFC,0,5,4,5,0,0,0,6,255400000,6514,3,4,2,Packers,0,2024,5561,1,57,22,18,219290000,11,18,3851,4189
0,3,2,11,5,8,755105797,19,21,0,5,1609,1958,5,2,751960064,7,24,759955492,85,19520000,0.706,NFC North,19,3,3,NFC,0,4,9,4,0,0,0,10,255400000,5559,1,3,15,Vikings,0,2024,5454,1,78,5,14,235880000,12,18,3845,3601
0,7,10,17,1,5,755105797,8,29,0,17,1878,1914,9,2,751960064,7,23,759955457,81,21200000,0.471,NFC North,19,4,0,NFC,0,7,12,17,0,0,0,14,255400000,5189,254,2,25,Bears,0,2024,5335,1,65,3,7,234200000,8,18,3457,3275
0,1,1,7,7,10,755105798,15,6,0,2,1807,1922,4,3,751960064,6,26,759955473,83,19450000,0.765,NFC South,20,0,4,NFC,0,2,10,14,0,0,0,8,255400000,6012,4,6,7,Falcons,0,2024,5434,1,99,7,13,235950000,13,18,3627,4090
0,6,16,25,2,2,755105798,26,23,0,32,2116,1582,14,8,751960064,1,19,759955482,79,12930000,0.176,NFC South,30,5,0,NFC,0,10,27,30,0,0,0,-11,255400000,4990,252,1,29,Panthers,0,2024,6104,1,-198,32,31,242470000,3,18,3988,3408
